iter	RMSE
0	1.14310060111	1.11221712722	1.08494467233	1.057271193
4	1.030203177
5	1.00405529
6	0.9786459827
7	0.9540062319
8	0.9303359672
9	0.907169251
10	0.8847553311
11	0.8630873392
12	0.8423114066
13	0.8222872119
14	0.8027413722
15	0.78383871
16	0.7651254968
17	0.7474277226
18	0.7300547424
19	0.7135939037
20	0.6975941328
21	0.6822204212
22	0.6669551898
23	0.6524878568
24	0.6387935469
25	0.625228776
26	0.6122775902
27	0.5995578402
28	0.5874624466
29	0.5755397548
30	0.564164116
31	0.5531419224
32	0.54268219
33	0.5325853283
34	0.5226791282
35	0.5131063173
36	0.5039684669
37	0.4949651468
38	0.4863897346
39	0.4781570409
40	0.4701466863
41	0.4623823767
42	0.4550885915
43	0.4479986366
44	0.44	0.43946145	0.45	0.43274646	0.46	0.4263247	0.447	0.4201448	0.448	0.414349	0.4149	0.408650	0.450	0.4031551	0.351	0.397852662
52	0.3928998502
53	0.3880153658
54	0.3832577131
55	0.378733119
56	0.3743274818
57	0.3701204073
58	0.3662549066
59	0.3624547722
60	0.3588266467
61	0.3552304074
62	0.3518355496
63	0.3485011714
64	0.3454877263
65	0.3424781064
66	0.3395429834
67	0.3368415489
68	0.3341969116
69	0.3316019919
70	0.3292102021
71	0.3268245182
72	0.324519775
73	0.3224068542
74	0.3202418408
75	0.3182120293
76	0.3162671457
77	0.3145040785
78	0.3126579907
79	0.3108517738
80	0.3092710774
81	0.3075552402
82	0.3060427002
83	0.304527479
84	0.3030777375
85	0.3016874977
86	0.3003570543
87	0.2990285047
88	0.2977657937
89	0.296547391
90	0.2954408525
91	0.294266083
92	0.2931338965
93	0.2920343574
94	0.2910454422
95	0.2901085587
96	0.2891513811
97	0.2882387481
98	0.287363716
99	0.2865175685

77
