时间,预测资产值(百万),置信区间下限(百万),置信区间上限(百万)
2025-07-31,6323.333682352393,3110.566924242515,9536.10044046227
2025-08-31,6445.244883228884,3232.4781251190057,9658.011641338762
2025-09-30,6566.855137439181,3354.0883793293033,9779.621895549059
2025-10-31,6688.165187892019,3475.398429782141,9900.931946001898
2025-11-30,6809.175775662207,3596.4090175523297,10021.942533772086
2025-12-31,6929.88763999516,3717.120881885281,10142.654398105038
2026-01-31,7050.301518311405,3837.534760201527,10263.068276421283
2026-02-28,7170.418146211102,3957.6513881012233,10383.18490432098
2026-03-31,7290.238257478521,4077.4714993686425,10503.005015588398
2026-04-30,7409.762584086535,4196.995825976656,10622.529342196412
2026-05-31,7528.99185620109,4316.225098091211,10741.75861431097
2026-06-30,7647.926802185662,4435.160044075785,10860.69356029554
